portcode,stim,excerpt,syncopation_degree,syncopation_index,tempo_bpm,tempo
11,sync,LR3,low,0,90,1.5
12,sync,LR3,low,0,96,1.6
13,sync,LR3,low,0,102,1.7
14,sync,LR3,low,0,108,1.8
15,sync,LR3,low,0,114,1.9
21,sync,LR6,low,0,90,1.5
22,sync,LR6,low,0,96,1.6
23,sync,LR6,low,0,102,1.7
24,sync,LR6,low,0,108,1.8
25,sync,LR6,low,0,114,1.9
31,sync,MR1,moderate,4,90,1.5
32,sync,MR1,moderate,4,96,1.6
33,sync,MR1,moderate,4,102,1.7
34,sync,MR1,moderate,4,108,1.8
35,sync,MR1,moderate,4,114,1.9
41,sync,MR2,moderate,5,90,1.5
42,sync,MR2,moderate,5,96,1.6
43,sync,MR2,moderate,5,102,1.7
44,sync,MR2,moderate,5,108,1.8
45,sync,MR2,moderate,5,114,1.9
51,sync,HR1,high,18,90,1.5
52,sync,HR1,high,18,96,1.6
53,sync,HR1,high,18,102,1.7
54,sync,HR1,high,18,108,1.8
55,sync,HR1,high,18,114,1.9
61,sync,HR3,high,16,90,1.5
62,sync,HR3,high,16,96,1.6
63,sync,HR3,high,16,102,1.7
64,sync,HR3,high,16,108,1.8
65,sync,HR3,high,16,114,1.9
101,mir,,,,90,1.5
102,mir,,,,90,1.5
103,mir,,,,90,1.5
104,mir,,,,90,1.5
105,mir,,,,90,1.5
106,mir,,,,90,1.5
107,mir,,,,90,1.5
108,mir,,,,90,1.5
109,mir,,,,90,1.5
110,mir,,,,90,1.5
111,mir,,,,90,1.5
112,mir,,,,90,1.5
113,mir,,,,90,1.5
114,mir,,,,90,1.5
115,mir,,,,90,1.5
116,mir,,,,90,1.5
117,mir,,,,90,1.5
118,mir,,,,90,1.5
119,mir,,,,90,1.5
120,mir,,,,90,1.5
121,mir,,,,90,1.5
122,mir,,,,90,1.5
123,mir,,,,90,1.5
124,mir,,,,90,1.5
125,mir,,,,90,1.5
126,mir,,,,90,1.5
127,mir,,,,90,1.5
128,mir,,,,90,1.5
129,mir,,,,90,1.5
130,mir,,,,90,1.5
131,mir,,,,96,1.6
132,mir,,,,96,1.6
133,mir,,,,96,1.6
134,mir,,,,96,1.6
135,mir,,,,96,1.6
136,mir,,,,96,1.6
137,mir,,,,96,1.6
138,mir,,,,96,1.6
139,mir,,,,96,1.6
140,mir,,,,96,1.6
141,mir,,,,96,1.6
142,mir,,,,96,1.6
143,mir,,,,96,1.6
144,mir,,,,96,1.6
145,mir,,,,96,1.6
146,mir,,,,96,1.6
147,mir,,,,96,1.6
148,mir,,,,96,1.6
149,mir,,,,96,1.6
150,mir,,,,96,1.6
151,mir,,,,96,1.6
152,mir,,,,96,1.6
153,mir,,,,96,1.6
154,mir,,,,96,1.6
155,mir,,,,96,1.6
156,mir,,,,96,1.6
157,mir,,,,96,1.6
158,mir,,,,96,1.6
159,mir,,,,96,1.6
160,mir,,,,96,1.6
161,mir,,,,102,1.7
162,mir,,,,102,1.7
163,mir,,,,102,1.7
164,mir,,,,102,1.7
165,mir,,,,102,1.7
166,mir,,,,102,1.7
167,mir,,,,102,1.7
168,mir,,,,102,1.7
169,mir,,,,102,1.7
170,mir,,,,102,1.7
171,mir,,,,102,1.7
172,mir,,,,102,1.7
173,mir,,,,102,1.7
174,mir,,,,102,1.7
175,mir,,,,102,1.7
176,mir,,,,102,1.7
177,mir,,,,102,1.7
178,mir,,,,102,1.7
179,mir,,,,102,1.7
180,mir,,,,102,1.7
181,mir,,,,102,1.7
182,mir,,,,102,1.7
183,mir,,,,102,1.7
184,mir,,,,102,1.7
185,mir,,,,102,1.7
186,mir,,,,102,1.7
187,mir,,,,102,1.7
188,mir,,,,102,1.7
189,mir,,,,102,1.7
190,mir,,,,102,1.7
191,mir,,,,108,1.8
192,mir,,,,108,1.8
193,mir,,,,108,1.8
194,mir,,,,108,1.8
195,mir,,,,108,1.8
196,mir,,,,108,1.8
197,mir,,,,108,1.8
198,mir,,,,108,1.8
199,mir,,,,108,1.8
200,mir,,,,108,1.8
201,mir,,,,108,1.8
202,mir,,,,108,1.8
203,mir,,,,108,1.8
204,mir,,,,108,1.8
205,mir,,,,108,1.8
206,mir,,,,108,1.8
207,mir,,,,108,1.8
208,mir,,,,108,1.8
209,mir,,,,108,1.8
210,mir,,,,108,1.8
211,mir,,,,108,1.8
212,mir,,,,108,1.8
213,mir,,,,108,1.8
214,mir,,,,108,1.8
215,mir,,,,108,1.8
216,mir,,,,108,1.8
217,mir,,,,108,1.8
218,mir,,,,108,1.8
219,mir,,,,108,1.8
220,mir,,,,108,1.8
221,mir,,,,114,1.9
222,mir,,,,114,1.9
223,mir,,,,114,1.9
224,mir,,,,114,1.9
225,mir,,,,114,1.9
226,mir,,,,114,1.9
227,mir,,,,114,1.9
228,mir,,,,114,1.9
229,mir,,,,114,1.9
230,mir,,,,114,1.9
231,mir,,,,114,1.9
232,mir,,,,114,1.9
233,mir,,,,114,1.9
234,mir,,,,114,1.9
235,mir,,,,114,1.9
236,mir,,,,114,1.9
237,mir,,,,114,1.9
238,mir,,,,114,1.9
239,mir,,,,114,1.9
240,mir,,,,114,1.9
241,mir,,,,114,1.9
242,mir,,,,114,1.9
243,mir,,,,114,1.9
244,mir,,,,114,1.9
245,mir,,,,114,1.9
246,mir,,,,114,1.9
247,mir,,,,114,1.9
248,mir,,,,114,1.9
249,mir,,,,114,1.9
250,mir,,,,114,1.9
