id,filename,portcode,SIbeatsalience,SIeventdensity,MIRpulseclarity,MIReventdensity,rms,rmsStd,flux,flux_0_50,flux_50_100,flux_100_200,flux_200_400,flux_400_800,flux_800_1600,flux_1600_3200,flux_3200_6400,flux_6400_12800,flux_12800_22050,fluctuation,lowenergy,notes
1,1.wav,201,0.70557,0.280489,6.327694265,1.705115346,0.142810448,0.118319978,83.5233848,6.948009748,3.206150138,0.02486937,8.84E-05,8.23E-07,8.84E-09,8.70E-11,1.00E-12,0,0,15.63708536,0.490408674,standard rock beat
2,2.wav,202,0.274063,0.224752,5.887576479,1.604814443,0.112072846,0.094679526,63.23846846,5.229100844,2.370452301,0.018121084,6.31E-05,5.89E-07,6.48E-09,6.10E-11,1.00E-12,0,0,15.63708536,0.54295246,standard rock beat fancy hihat
3,3.wav,203,0.507441,0.290601,9.001495533,1.805416249,0.098912589,0.086261129,63.23474907,2.474142165,1.185227236,0.019610178,5.94E-05,5.42E-07,6.34E-09,5.70E-11,1.00E-12,0,0,15.63708536,0.563803169,mostly kick
4,4.wav,204,0.789633,0.399822,7.548805138,2.006018054,0.137221516,0.109263265,99.80324109,4.749478107,2.237555516,0.024425525,8.13E-05,7.61E-07,9.01E-09,8.10E-11,1.00E-12,0,0,15.63708536,0.561301084,busy hihat
5,5.wav,205,0.64141,0.266035,6.28649939,0.969575393,0.10831243,0.094248327,59.29946201,3.641494437,1.671215511,0.013070829,4.79E-05,4.61E-07,5.59E-09,5.20E-11,1.00E-12,0,0,15.63708536,0.63969975,sparse but good 4 feel
6,6.wav,206,0.687979,0.304881,6.265789191,1.905717151,0.105689816,0.086083238,67.91157271,4.636669142,2.202724487,0.018641714,6.36E-05,6.06E-07,6.44E-09,6.20E-11,1.00E-12,0,0,15.63708536,0.523769808,4floor with good snare syncopation
7,7.wav,207,0.318789,0.213764,5.924571411,1.604814443,0.114916454,0.097492458,63.87630335,5.46664784,2.536180826,0.01980016,7.17E-05,6.54E-07,7.00E-09,6.70E-11,1.00E-12,0,0,15.63708536,0.553794829,mostly 4floor kick
8,8.wav,208,0.657876,0.32654,5.704362328,1.905717151,0.144347766,0.117724157,86.38491585,7.361859536,3.383887908,0.024503616,8.77E-05,8.12E-07,8.72E-09,8.30E-11,1.00E-12,0,0,15.63708536,0.502085071,"simple rock beat, medium business in hihat"
9,9.wav,209,0.692971,0.335226,8.867762941,2.407221665,0.126283867,0.097103702,89.77960782,5.305383258,2.502947738,0.020927997,7.68E-05,7.30E-07,7.89E-09,7.30E-11,1.00E-12,0,0,15.63708536,0.558798999,driving
10,10.wav,210,0.385552,0.224677,8.882410941,1.604814443,0.069680161,0.061498491,40.71389356,1.545119082,0.734301063,0.008322828,3.15E-05,3.26E-07,3.63E-09,3.40E-11,0,0,0,15.63708536,0.624687239,driving with some swing
11,11.wav,211,0.674508,0.29273,6.656050488,1.805416249,0.103115836,0.084117804,63.35583326,5.129190655,2.259009829,0.01658907,5.89E-05,5.97E-07,6.00E-09,6.00E-11,1.00E-12,0,0,15.63708536,0.503753128,4snare and 4kick
12,12.wav,212,0.73609,0.32227,7.55399072,2.373788031,0.136212816,0.101639438,96.92008629,6.451433437,3.002127759,0.020776942,7.90E-05,7.36E-07,8.07E-09,7.90E-11,1.00E-12,0,0,15.63708536,0.507923269,good moving standard rock beat feel
